VTX, IDX, position.x, position.y, position.z, normal.x, normal.y, normal.z, tangent.x, tangent.y, tangent.z, texcoord0.x, texcoord0.y
4047, 1162, -0.15641,  0.97207,  0.21002, -0.16753, -0.9562, -0.22269,  0.12123, -0.23916,  0.95183,  0.47068,  0.73407
4048, 1198, -0.14591,  0.96764,  0.22273, -0.0437, -0.97954,  0.15733, -0.00414,  0.16723,  0.97546,  0.4866,  0.7169
4049, 1161, -0.1581,  0.97368,  0.22448, -0.15557, -0.95984,  0.21054, -0.0916,  0.23115,  0.96222,  0.49858,  0.74026
4050, 1162, -0.15641,  0.97207,  0.21002, -0.16753, -0.9562, -0.22269,  0.12123, -0.23916,  0.95183,  0.47068,  0.73407
4051, 1161, -0.1581,  0.97368,  0.22448, -0.15557, -0.95984,  0.21054, -0.0916,  0.23115,  0.96222,  0.49858,  0.74026
4052, 1160, -0.16712,  0.97267,  0.21575, -0.17318, -0.97225, -0.13455, -0.0019, -0.13277,  0.98402,  0.48892,  0.75567
4053, 1160, -0.16712,  0.97267,  0.21575, -0.17318, -0.97225, -0.13455, -0.0019, -0.13277,  0.98402,  0.48892,  0.75567
4054, 1161, -0.1581,  0.97368,  0.22448, -0.15557, -0.95984,  0.21054, -0.0916,  0.23115,  0.96222,  0.49858,  0.74026
4055, 1254, -0.16893,  0.97444,  0.23035, -0.19457, -0.91674,  0.33647, -0.18702,  0.37485,  0.90512,  0.52269,  0.75745
4056, 1254, -0.16893,  0.97444,  0.23035, -0.19457, -0.91674,  0.33647, -0.18702,  0.37485,  0.90512,  0.52269,  0.75745
4057, 1197, -0.1759,  0.97885,  0.23236, -0.50713, -0.65809,  0.54833, -0.55791,  0.73874,  0.37016,  0.5538,  0.76585
4058, 1264, -0.17752,  0.97737,  0.2273, -0.58685, -0.7552,  0.27653, -0.21082,  0.47643,  0.84928,  0.53173,  0.77236
4059, 1253, -0.17262,  0.97379,  0.22417, -0.32254, -0.93714,  0.10229, -0.11988,  0.15037,  0.97782,  0.51357,  0.76548
4060, 1254, -0.16893,  0.97444,  0.23035, -0.19457, -0.91674,  0.33647, -0.18702,  0.37485,  0.90512,  0.52269,  0.75745
4061, 1264, -0.17752,  0.97737,  0.2273, -0.58685, -0.7552,  0.27653, -0.21082,  0.47643,  0.84928,  0.53173,  0.77236
4062, 1254, -0.16893,  0.97444,  0.23035, -0.19457, -0.91674,  0.33647, -0.18702,  0.37485,  0.90512,  0.52269,  0.75745
4063, 1253, -0.17262,  0.97379,  0.22417, -0.32254, -0.93714,  0.10229, -0.11988,  0.15037,  0.97782,  0.51357,  0.76548
4064, 1160, -0.16712,  0.97267,  0.21575, -0.17318, -0.97225, -0.13455, -0.0019, -0.13277,  0.98402,  0.48892,  0.75567
4065, 1258, -0.17084,  0.98128,  0.19811, -0.3441, -0.78296, -0.50871,  0.13185, -0.57563,  0.79322,  0.44748,  0.75665
4066, 1162, -0.15641,  0.97207,  0.21002, -0.16753, -0.9562, -0.22269,  0.12123, -0.23916,  0.95183,  0.47068,  0.73407
4067, 1160, -0.16712,  0.97267,  0.21575, -0.17318, -0.97225, -0.13455, -0.0019, -0.13277,  0.98402,  0.48892,  0.75567
4068, 1266, -0.17536,  0.97679,  0.21083, -0.43119, -0.83451, -0.33237, -0.06695, -0.33564,  0.93383,  0.48071,  0.7719
4069, 1160, -0.16712,  0.97267,  0.21575, -0.17318, -0.97225, -0.13455, -0.0019, -0.13277,  0.98402,  0.48892,  0.75567
4070, 1253, -0.17262,  0.97379,  0.22417, -0.32254, -0.93714,  0.10229, -0.11988,  0.15037,  0.97782,  0.51357,  0.76548
4071, 1160, -0.16712,  0.97267,  0.21575, -0.17318, -0.97225, -0.13455, -0.0019, -0.13277,  0.98402,  0.48892,  0.75567
4072, 1266, -0.17536,  0.97679,  0.21083, -0.43119, -0.83451, -0.33237, -0.06695, -0.33564,  0.93383,  0.48071,  0.7719
4073, 1258, -0.17084,  0.98128,  0.19811, -0.3441, -0.78296, -0.50871,  0.13185, -0.57563,  0.79322,  0.44748,  0.75665
4074, 1162, -0.15641,  0.97207,  0.21002, -0.16753, -0.9562, -0.22269,  0.12123, -0.23916,  0.95183,  0.47068,  0.73407
4075, 1201, -0.15165,  0.97518,  0.19829, -0.04597, -0.89261, -0.44188,  0.26337, -0.43255,  0.84489,  0.44956,  0.71821
4076, 1202, -0.13792,  0.96988,  0.21355,  0.32874, -0.92838, -0.15435,  0.16735, -0.09231,  0.96649,  0.47377,  0.70027
4077, 1201, -0.15165,  0.97518,  0.19829, -0.04597, -0.89261, -0.44188,  0.26337, -0.43255,  0.84489,  0.44956,  0.71821
4078, 1162, -0.15641,  0.97207,  0.21002, -0.16753, -0.9562, -0.22269,  0.12123, -0.23916,  0.95183,  0.47068,  0.73407
4079, 1258, -0.17084,  0.98128,  0.19811, -0.3441, -0.78296, -0.50871,  0.13185, -0.57563,  0.79322,  0.44748,  0.75665
4080, 1202, -0.13792,  0.96988,  0.21355,  0.32874, -0.92838, -0.15435,  0.16735, -0.09231,  0.96649,  0.47377,  0.70027
4081, 1198, -0.14591,  0.96764,  0.22273, -0.0437, -0.97954,  0.15733, -0.00414,  0.16723,  0.97546,  0.4866,  0.7169
4082, 1162, -0.15641,  0.97207,  0.21002, -0.16753, -0.9562, -0.22269,  0.12123, -0.23916,  0.95183,  0.47068,  0.73407
4083, 1218, -0.13783,  0.97283,  0.23323,  0.25928, -0.68915,  0.66109, -0.16139,  0.65344,  0.7354,  0.49771,  0.70513
4084, 1198, -0.14591,  0.96764,  0.22273, -0.0437, -0.97954,  0.15733, -0.00414,  0.16723,  0.97546,  0.4866,  0.7169
4085, 1202, -0.13792,  0.96988,  0.21355,  0.32874, -0.92838, -0.15435,  0.16735, -0.09231,  0.96649,  0.47377,  0.70027
4086, 1164, -0.13927,  0.98138,  0.2367,  0.25696, -0.26983,  0.91486, -0.43458,  0.8196,  0.36721,  0.50867,  0.70116
4087, 1218, -0.13783,  0.97283,  0.23323,  0.25928, -0.68915,  0.66109, -0.16139,  0.65344,  0.7354,  0.49771,  0.70513
4088, 1220, -0.13031,  0.97625,  0.22676,  0.68373, -0.58552,  0.4077, -0.09276,  0.50383,  0.85282,  0.49193,  0.68939
4089, 1202, -0.13792,  0.96988,  0.21355,  0.32874, -0.92838, -0.15435,  0.16735, -0.09231,  0.96649,  0.47377,  0.70027
4090, 1220, -0.13031,  0.97625,  0.22676,  0.68373, -0.58552,  0.4077, -0.09276,  0.50383,  0.85282,  0.49193,  0.68939
4091, 1218, -0.13783,  0.97283,  0.23323,  0.25928, -0.68915,  0.66109, -0.16139,  0.65344,  0.7354,  0.49771,  0.70513
4092, 1165, -0.15271,  0.98149,  0.23937,  0.14301, -0.62639,  0.75553, -0.45223,  0.64144,  0.61427,  0.52008,  0.7241
4093, 1164, -0.13927,  0.98138,  0.2367,  0.25696, -0.26983,  0.91486, -0.43458,  0.8196,  0.36721,  0.50867,  0.70116
4094, 1163, -0.14214,  0.9975,  0.23888,  0.34919,  0.14289,  0.91538, -0.59706,  0.78887,  0.11412,  0.52801,  0.69175
4095, 1163, -0.14214,  0.9975,  0.23888,  0.34919,  0.14289,  0.91538, -0.59706,  0.78887,  0.11412,  0.52801,  0.69175
4096, 1166, -0.15294,  0.99249,  0.24599,  0.20418, -0.07537,  0.96753, -0.6423,  0.73381,  0.19769,  0.53514,  0.71373
4097, 1165, -0.15271,  0.98149,  0.23937,  0.14301, -0.62639,  0.75553, -0.45223,  0.64144,  0.61427,  0.52008,  0.7241
4098, 1200, -0.14136,  0.98352,  0.18368,  0.01807, -0.85595, -0.51187,  0.37473, -0.4629,  0.78074,  0.42567,  0.68568
4099, 1201, -0.15165,  0.97518,  0.19829, -0.04597, -0.89261, -0.44188,  0.26337, -0.43255,  0.84489,  0.44956,  0.71821
4100, 1259, -0.16572,  0.98577,  0.18681, -0.30307, -0.71027, -0.62569,  0.28565, -0.6944,  0.63774,  0.42084,  0.73648
4101, 1258, -0.17084,  0.98128,  0.19811, -0.3441, -0.78296, -0.50871,  0.13185, -0.57563,  0.79322,  0.44748,  0.75665
4102, 1259, -0.16572,  0.98577,  0.18681, -0.30307, -0.71027, -0.62569,  0.28565, -0.6944,  0.63774,  0.42084,  0.73648
4103, 1201, -0.15165,  0.97518,  0.19829, -0.04597, -0.89261, -0.44188,  0.26337, -0.43255,  0.84489,  0.44956,  0.71821
4104, 1259, -0.16572,  0.98577,  0.18681, -0.30307, -0.71027, -0.62569,  0.28565, -0.6944,  0.63774,  0.42084,  0.73648
4105, 1260, -0.15478,  0.99425,  0.17294, -0.27412, -0.64588, -0.70253,  0.33642, -0.74989,  0.5416,  0.38802,  0.70031
4106, 1200, -0.14136,  0.98352,  0.18368,  0.01807, -0.85595, -0.51187,  0.37473, -0.4629,  0.78074,  0.42567,  0.68568
4107, 1200, -0.14136,  0.98352,  0.18368,  0.01807, -0.85595, -0.51187,  0.37473, -0.4629,  0.78074,  0.42567,  0.68568
4108, 1260, -0.15478,  0.99425,  0.17294, -0.27412, -0.64588, -0.70253,  0.33642, -0.74989,  0.5416,  0.38802,  0.70031
4109, 1262, -0.14234,  0.99835,  0.16513, -0.23873, -0.7001, -0.66358,  0.40615, -0.69282,  0.56767,  0.38802,  0.66418
4110, 1262, -0.14234,  0.99835,  0.16513, -0.23873, -0.7001, -0.66358,  0.40615, -0.69282,  0.56767,  0.38802,  0.66418
4111, 1204, -0.12921,  0.98881,  0.17541,  0.11119, -0.88523, -0.44729,  0.44658, -0.34968,  0.80093,  0.4223,  0.65278
4112, 1200, -0.14136,  0.98352,  0.18368,  0.01807, -0.85595, -0.51187,  0.37473, -0.4629,  0.78074,  0.42567,  0.68568
4113, 1261, -0.1204,  1.00588,  0.1457, -0.11487, -0.72681, -0.66904,  0.46744, -0.63119,  0.58386,  0.38802,  0.59718
